City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,columbine,39.5878,-105.0694,298.47,35,75,3.09,US,1695163686
196,shitanjing,39.2342,106.3439,288.48,43,97,2.83,CN,1695163686
197,namtsy,62.7161,129.6658,272.55,74,6,1.74,RU,1695163686
198,port blair,11.6667,92.75,299.85,82,80,3.54,IN,1695163686
199,tsaratanana,-16.7833,47.65,293.72,74,62,2.88,MG,1695163687
200,marsassoum,12.8275,-15.9806,298.2,94,98,2.92,SN,1695163687
201,tayaman,13.2295,120.5726,300.62,77,57,1.22,PH,1695163687
202,kodiak,57.79,-152.4072,283.88,71,0,3.09,US,1695163688
203,rivne,50.6231,26.2274,288.78,92,100,2.67,UA,1695163688
204,happy valley-goose bay,53.3168,-60.3315,284.32,71,75,3.6,CA,1695163688
205,richards bay,-28.783,32.0377,294.44,82,87,6.76,ZA,1695163664
206,pemangkat,1.1667,108.9667,298.46,87,100,2.17,ID,1695163688
207,villa maria grande,-31.6656,-59.9018,288.02,89,100,5.34,AR,1695163689
208,cururupu,-1.8283,-44.8683,298.6,87,15,2.45,BR,1695163689
209,buzen,33.6115,131.13,298.07,88,89,0.66,JP,1695163689
210,sao vicente,-23.9631,-46.3919,302.25,26,63,0.89,BR,1695163690
211,tisaiyanvilai,8.3333,77.8833,298.97,81,99,3.94,IN,1695163690
212,daru,-9.0763,143.2092,299.17,83,60,5.19,PG,1695163690
213,port augusta,-32.5,137.7667,289.54,67,0,2.94,AU,1695163691
214,seguela,7.9611,-6.6731,295.1,96,76,1.74,CI,1695163692
215,mbaiki,3.8678,17.9892,294.75,95,98,0.3,CF,1695163692
216,college,64.8569,-147.8028,282.12,75,75,0.89,US,1695163692
217,copala,16.65,-98.9833,302.7,68,16,2.86,MX,1695163693
218,tingo maria,-9.2895,-76.0088,295.63,86,77,0.42,PE,1695163693
219,cimahi,-6.8722,107.5425,292.26,90,28,1.5,ID,1695163693
220,gadzhiyevo,69.2551,33.3362,277.63,66,100,6.25,RU,1695163693
221,xingcheng,40.6167,120.7167,290.1,58,2,4.21,CN,1695163694
222,yesan,36.6776,126.8427,292.86,94,100,2.82,KR,1695163694
